age,annual_income,credit_score,loan_amount,employment_years,debt_to_income,default
30,84682,541,81223,19.8,0.387,1
52,62224,745,57881,12.1,0.244,1
53,71881,769,62673,8.6,0.365,1
55,73226,627,40603,7.8,0.167,1
19,76453,706,29428,15.7,0.138,0
35,93176,660,59388,3.9,0.391,0
67,86654,705,48767,7.0,0.33,0
31,71327,633,13702,0.4,0.411,1
35,45726,614,37782,17.9,0.236,1
36,72030,759,43176,10.7,0.205,0
28,69159,675,33770,3.0,0.463,1
27,75795,832,77598,7.2,0.117,1
38,136196,683,55556,11.6,0.45,1
68,54287,611,75210,6.2,0.458,1
18,82669,772,50795,4.3,0.403,1
34,102054,727,46791,3.4,0.217,0
21,72940,735,24395,10.4,0.202,0
50,140135,769,45262,5.5,0.275,1
32,58659,631,45287,4.8,0.145,1
63,79723,670,14923,0.0,0.185,0
51,46036,667,33130,8.5,0.377,1
63,59454,583,37888,6.7,0.378,1
54,77468,660,54097,5.7,0.174,1
43,95389,780,55150,9.4,0.381,1
67,79573,698,32211,13.2,0.355,0
45,107773,579,55315,12.9,0.481,1
73,67151,563,40994,11.9,0.368,1
75,60035,805,5000,6.3,0.427,0
52,151120,673,34337,4.0,0.357,1
57,81827,631,68738,0.7,0.418,1
32,48416,659,8000,3.8,0.146,1
65,49172,569,47479,8.1,0.285,1
56,41720,787,79876,2.5,0.295,1
70,98097,651,28267,8.7,0.271,1
33,59069,783,45047,1.2,0.353,0
63,73821,684,16312,0.0,0.376,1
45,68095,787,80799,13.7,0.347,0
28,91945,699,43167,4.7,0.279,1
27,44598,744,46026,2.1,0.212,1
50,37733,734,74795,0.3,0.432,1
36,76729,727,59553,11.0,0.342,1
23,88029,706,25736,17.6,0.178,0
42,79976,663,30760,5.2,0.277,1
55,45716,824,55888,6.5,0.091,0
36,90325,612,31269,15.5,0.304,1
73,47684,680,5000,0.0,0.276,1
63,54354,681,43829,21.8,0.231,1
47,41681,710,12435,25.1,0.49,1
72,109035,648,80558,0.0,0.161,0
43,89003,704,48889,7.3,0.385,1
26,88150,667,25086,3.0,0.562,1
20,107416,561,29630,6.1,0.429,1
72,154379,681,5000,5.1,0.296,0
73,20000,597,20812,13.7,0.164,1
60,47849,550,67359,7.2,0.137,1
23,51515,690,94099,1.6,0.251,1
35,44475,717,60981,6.8,0.218,0
20,37673,720,42975,11.6,0.214,0
20,61010,723,35497,0.0,0.261,1
32,33502,535,23957,0.0,0.288,1
51,80051,578,90315,21.9,0.358,1
21,71551,828,40848,3.5,0.151,1
75,84431,601,91544,7.0,0.218,1
44,85232,726,75657,5.2,0.281,1
33,88090,628,6702,11.8,0.277,1
47,58798,686,30349,20.4,0.52,1
63,133634,633,30281,12.1,0.328,1
36,77033,722,43243,0.0,0.106,0
20,20000,690,43673,0.0,0.35,1
20,39929,646,110917,5.2,0.365,1
67,20000,601,21301,6.1,0.285,1
24,70520,700,50037,0.0,0.154,0
54,66346,589,58563,13.7,0.511,1
40,55947,712,44965,0.4,0.172,1
63,130328,850,47424,18.5,0.379,1
21,86469,781,22014,20.7,0.324,0
70,91783,734,47343,6.3,0.372,1
58,42068,674,56251,11.1,0.505,1
44,40026,535,52207,0.0,0.367,1
30,71104,581,57544,12.4,0.233,1
74,75190,776,76077,4.5,0.433,0
35,20000,621,65613,0.4,0.224,1
46,64591,628,46568,6.0,0.32,1
40,70422,668,19221,4.7,0.145,0
31,63546,600,31800,5.7,0.176,0
42,45598,588,40168,14.6,0.306,1
26,53814,676,50552,2.5,0.344,1
18,64694,613,34477,20.1,0.096,1
34,72724,624,24414,0.0,0.36,1
24,88144,621,18860,19.3,0.202,1
42,102426,719,8674,0.9,0.454,0
68,61170,663,39831,8.0,0.258,1
27,56315,667,12667,4.6,0.165,0
18,83130,725,22988,5.6,0.309,1
24,88325,669,36334,13.6,0.19,0
47,56974,659,15610,18.5,0.452,1
33,93712,715,53355,16.3,0.3,0
46,99388,730,61285,5.2,0.282,0
19,108751,669,32913,9.3,0.371,1
37,123350,686,35385,2.5,0.179,1
41,44008,621,56823,1.1,0.145,1
43,70417,615,29292,0.0,0.349,1
49,70338,738,27780,4.9,0.168,1
63,67058,713,71323,9.7,0.168,1
45,50522,714,64452,0.0,0.4,0
66,25433,701,58234,7.7,0.363,1
